GM_NAAM,GM_CODE,OuderRegioCode,GrootOuderRegioCode,total_votes,VVD,Average_House_Price,Average_Income,Population_Density,Population_Increase
Aalten,GM0197,K7,P25,17746,2054,226.1,22.4,281,-69
Apeldoorn,GM0200,K7,P25,101318,15869,287.2,25.4,487,-315
Arnhem,GM0202,K7,P25,89130,10608,260.6,24.0,1677,105
Barneveld,GM0203,K7,P25,39240,4533,359.1,23.5,345,362
Berkelland,GM1859,K7,P25,30595,3834,265.9,23.4,170,-166
Bronckhorst,GM1876,K7,P25,25537,3847,312.7,25.0,127,-181
Brummen,GM0213,K7,P25,14131,2223,314.1,25.3,250,-117
Doesburg,GM0221,K7,P25,6993,985,256.3,23.2,955,-59
Doetinchem,GM0222,K7,P25,37001,5474,256.4,23.7,741,-94
Duiven,GM0226,K7,P25,16247,3025,267.4,25.2,736,-9
Ede,GM0228,K7,P25,76555,10073,302.8,24.6,377,387
Elburg,GM0230,K7,P25,15588,1670,290.6,22.2,372,50
Epe,GM0232,K7,P25,21776,3532,340.9,24.9,213,-119
Ermelo,GM0233,K7,P25,17978,2475,338.3,26.2,318,-115
Harderwijk,GM0243,K7,P25,29963,5009,321.6,24.1,1255,78
Hattem,GM0244,K7,P25,8479,1109,296.5,25.9,533,-4
Heerde,GM0246,K7,P25,12738,1562,327.5,24.3,242,-84
Lingewaard,GM1705,K7,P25,31074,6005,290.2,25.4,758,-36
Lochem,GM0262,K7,P25,23932,4070,365.6,27.7,160,-247
Montferland,GM1955,K7,P25,24289,3638,277.4,23.3,344,-109
Nijkerk,GM0267,K7,P25,28841,4576,354.3,24.9,639,93
